incident_id,people_involved_type,damage_human,damage_lab,severity,chemicals,cause,narrative_description,lessons_learned,university,source_URL
47,individual,amputation; burn,explosion; equipment damage; lab shutdown,severe,hydrogen; oxygen; carbon dioxide,equipment failure; human error; lack of training,"A postdoctoral researcher was preparing an experiment to investigate the electrochemical properties of an energetic metal–organic compound (a tetrazole derivative) intended as an airbag propellant alternative. The researcher was transferring the compound from a synthesis lab to an open-air breezeway laboratory. A 49 mL plastic compression chamber, previously modified and not pressure-rated, was used to pressurize the material with a gas mixture. While pressurizing the vessel, an explosion occurred, severing one arm below the elbow, and causing burns. The blast caused extensive laboratory damage, destroyed nearby equipment, embedded shrapnel into walls and ceiling, and activated building alarms. The lab was shut down.",Train staff; Follow standard operating procedures; Maintain equipment safety features; Handle chemicals carefully; Store chemicals under safe conditions; Maintain updated inventory; Use appropriate PPE,University of Hawaii,https://ehrs.upenn.edu/health-safety/lab-safety/safety-alerts/laboratory-explosion-university-hawaii-results-loss-arm
48,individual,none,chemical release; evacuation,moderate,acetyl bromide,human error; improper storage; lack of training,"While unpacking new chemicals, a researcher dropped a 500 mL glass bottle of acetyl bromide, which shattered on the floor. The researcher, wearing full PPE, removed contaminated clothing and exited the lab. Vapors hydrolyzed in humid air, creating dense fog that escaped the lab, prompting building evacuation. UCSB Hazmat and firefighters cleaned the spill without further incident.",Train staff; Store chemicals under safe conditions; Maintain updated inventory; Handle chemicals carefully,"University of California, Santa Barbara",https://www.ehs.ucsb.edu/programs-services/lab-safety-chemical-hygiene/laboratory-accidents
49,none,none,explosion; equipment damage; lab shutdown; evacuation,major,anhydrous hydrogen fluoride,chemical instability; improper storage; unknown inventory,"An old gas lecture bottle of anhydrous hydrogen fluoride spontaneously exploded inside a gas cabinet. No one was nearby, but the blast caused extensive lab damage and would likely have caused serious injury from debris or HF exposure if personnel had been present. The explosion forced a 12-hour building lockdown by the Fire Department. The cause was likely a long-term reaction between HF and the carbon steel cylinder, producing hydrogen gas and iron fluoride until pressure caused rupture.",Store chemicals under safe conditions; Dispose of unknown or expired substances; Maintain updated inventory,"University of California, Santa Barbara",https://www.ehs.ucsb.edu/programs-services/lab-safety-chemical-hygiene/laboratory-accidents
50,individual,fatality,lab shutdown,severe,none,human error; lack of training,An undergraduate student died from asphyxiation after her hair became entangled in a lathe while working alone in the Sterling Chemistry Laboratory machine shop. She was found by other students after the accident. The lab was shut down and a full investigation followed.,Train staff; Follow standard operating procedures; Maintain equipment safety features,Yale University,https://yaledailynews.com/blog/2011/04/13/michele-dufault-11-dies-in-sterling-chemistry-laboratory-accident/
51,individual,burn,none,minor,trimethylaluminum,human error,"A researcher attempted to add 0.6 mL of trimethylaluminum (TMA) to a reaction using a syringe, but the syringe needle became clogged, likely because the reaction was at –78 °C, below TMA’s freezing point. Applying pressure caused the needle to detach from the barrel, releasing TMA, which ignited upon air exposure. The researcher repeated the procedure with a new syringe and needle, with the same result.",Train staff; Handle chemicals carefully; Follow standard operating procedures; Use appropriate PPE; Maintain equipment safety features,"University of California, Los Angeles",https://cls.ucla.edu/trimethylaluminum-ignites-when-syringe-transfer-separates
52,group,dermal irritation; inhalation,contamination,minor,ethanol; formalin,human error; lack of training; missing label,"A researcher preparing a stock solution intended to be 70% ethanol accidentally used 10% formalin instead of 100% ethanol, due to similar container appearance and failure to read labels. The mislabeled solution was placed in the lab and also taken home for personal disinfectant use during COVID-19. Another researcher used the solution in a biosafety cabinet, on equipment, and on gloves before noticing unusual smell and mild irritation. Work was stopped, and the PI and lab mates were notified.",Train staff; Handle chemicals carefully; Use appropriate PPE; Follow standard operating procedures; Practice proper labeling,"University of California, Los Angeles",https://cls.ucla.edu/researcher-exposed-confusing-ethanol-formalin
53,group,inhalation,contamination,minor,barium oxide,improper storage,A broken container of barium oxide was found in a crowded chemical storage cabinet. Two researchers began cleanup but stopped after realizing the spill’s extent. A third lab member was also in the area. One person experienced dry mouth. All three were sent to the hospital as a precaution. EH&S cleaned the spill.,Train staff; Store chemicals under safe conditions; Follow standard operating procedures,"University of California, Los Angeles",https://cls.ucla.edu/three-researchers-exposed-barium-oxide-during-spill-clean
54,individual,eye injury,none,moderate,hydrofluoric acid,human error; lack of training,"While preparing a sample containing hydrofluoric acid for an optical emission spectrometer, a researcher felt a splash hit her eye upon opening the sample tube. She rinsed her eyes at a sink instead of using the eyewash station, then sought medical attention where her eyes were treated with a calcium gluconate saline solution.",Train staff; Use appropriate PPE; Follow standard operating procedures,"University of California, Los Angeles",https://cls.ucla.edu/hydrofluoric-acid-exposure-eyes
55,individual,eye injury,none,moderate,lysis buffer,human error; lack of training,"While sorting microfuge tubes containing samples in cell lysis buffer, a researcher attempted to close the lid of a partially open tube, causing a splash into her eye. She immediately flushed her eye at the eyewash station and was sent to Occupational Health and Safety. She was not wearing safety glasses.",Use appropriate PPE; Train staff,"University of California, Los Angeles",https://cls.ucla.edu/lysis-buffer-splashed-researchers-eye
56,group,cut,explosion; equipment damage,moderate,acetone; CO? (dry ice),human error; improper waste management,"An undergraduate student had earlier used a dry ice/acetone bath to cool a reaction. After the experiment, acetone containing dissolved CO? was poured into a capped glass waste container. As the acetone warmed, CO? came out of solution, causing a pressure build-up and an explosion inside the fume hood. A staff researcher walking by was injured by broken glass, sustaining a cut to the left middle finger and embedded glass under the right middle fingernail.",Handle chemicals carefully; Follow standard operating procedures; Use appropriate PPE; Follow hazardous waste protocols,"University of California, Los Angeles",https://cls.ucla.edu/explosion-closed-container-acetone-waste-cooling-bath-injures-researcher
57,individual,eye injury,none,minor,sodium hydroxide; potassium hydroxide; calcium hydroxide,lack of training; human error,"On his first day in the lab, a researcher removed his eye protection after completing his experiment. While cleaning up, a caustic mixture of sodium, potassium, and calcium hydroxides splashed into his eye. He rinsed his eye first at a sink, then a drinking fountain, and finally at the eyewash station before being taken to the emergency room for further flushing and evaluation.",Use appropriate PPE; Train staff; Follow standard operating procedures,"University of California, Los Angeles",https://cls.ucla.edu/caustic-solution-splashes-eye
58,individual,cut,explosion; equipment damage,moderate,di-tert-butyl peroxyoxalate,human error; chemical instability; improper storage,"A student synthesized 750 mg of di-tert-butyl peroxyoxalate but failed to follow the final procedure step of storing it dissolved in solvent. Instead, it was kept in dry solid form. While attempting to transfer the dried crystals to a balance with a metal spatula, a violent exothermic reaction occurred, shattering the vial. The student sustained minor lacerations to the neck, arms, and hands, and was not working behind a blast shield or wearing a face shield.",Follow standard operating procedures; Train staff; Store chemicals under safe conditions; Use appropriate PPE,"University of California, Los Angeles",https://cls.ucla.edu/experiment-di-tert-butyl-peroxyoxalate-generated-explosive-reaction
59,group,chemical exposure,contamination; equipment damage; lab shutdown,major,mercury,human error,"Research students were using a mercury thermometer to measure the temperature in a laboratory oven when the thermometer broke, spilling liquid mercury. The students unplugged the oven and began disassembly to remove glass, but stopped upon finding mercury droplets. EH&S was called, access was restricted, and the oven was sealed and disposed of as hazardous waste due to contamination.",Train staff; Handle chemicals carefully; Follow standard operating procedures; Store chemicals under safe conditions,"University of California, Los Angeles",https://cls.ucla.edu/mercury-thermometer-broke-and-exposed-students
60,none,none,explosion; chemical release; contamination; evacuation,major,nitric acid; sulfuric acid; hydrochloric acid,improper storage; chemical instability; improper waste management,"An over-pressurized waste bottle containing a mixture similar to aqua regia (50% nitric acid, 25% sulfuric acid, and 25% hydrochloric acid) exploded in a laboratory. No one was present at the time, but glass shards, corrosive liquid, and fumes were spread throughout the area. The cause was likely decomposition of the acids producing gas, possibly accelerated by contamination with organic material.",Train staff; Use appropriate PPE; Follow hazardous waste protocols; Follow standard operating procedures,"University of California, Los Angeles",https://cls.ucla.edu/chemical-waste-bottle-exploded-lab
61,individual,none,fire,moderate,pentane,lack of training; human error,"A new graduate student attempted to clean a vacuum pump oil chamber by adding pentane and turning the pump on. The warm pump caused pentane vapors to form, which were ignited by a spark from the electric motor, creating a large fireball. The fire was brief and did not require a fire extinguisher. The incident was reported, and procedures for proper pump maintenance were developed, specifying oil flushing instead of solvents.",Train staff; Follow standard operating procedures; Handle chemicals carefully,"University of California, Los Angeles",https://cls.ucla.edu/vacuum-pump-flash-fire
62,individual,burn,fire; chemical release,major,"1,4-dioxane",human error; lack of training,"A researcher preparing sterile medium containing 1,4-dioxane accidentally ignited the solvent with a Bunsen burner. Concerned the fire might spread in the fume hood, the researcher removed the burning bottle to a bench, spilling flaming liquid that ignited their clothes and surroundings. The researcher suffered second-degree burns to the hand while attempting to extinguish the flames with a gloved hand, which caught fire. The lab coat worn was flame resistant but improperly buttoned, and no eye protection was worn over prescription glasses.",Train staff; Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures,"University of California, Los Angeles",https://cls.ucla.edu/accidental-flaming-dioxane-bottle-causes-lab-fire-and-second-degree-burns
63,individual,none,explosion; equipment damage,major,oxygen; ozone; methylene chloride,lack of training; human error,"A graduate student conducting an ozonolysis reaction cooled the reaction flask with a liquid nitrogen bath instead of the recommended dry ice/acetone bath. This caused condensation of liquid oxygen in methylene chloride. When the student wiped frost from the flask to view the blue solution, the flask exploded. The explosion was caused by the reaction of condensed oxygen with organic solvent. A shard of glass struck the lens of the researcher’s safety glasses, preventing serious injury.",Train staff; Follow standard operating procedures; Handle chemicals carefully; Store chemicals under safe conditions,"University of California, Los Angeles",https://cls.ucla.edu/explosion-during-attempted-ozonolysis-reaction
64,individual,none,fire,moderate,lithium borohydride,human error; improper waste management,"A researcher weighing lithium borohydride disposed of the weighing paper into the general trash. Residual material reacted with moisture, releasing flammable gas and igniting a fire in the trash can within minutes. A lab member used a CO? extinguisher to put out the fire, and EH&S was notified. No injuries occurred.",Handle chemicals carefully; Follow standard operating procedures; Follow hazardous waste protocols,"University of California, Los Angeles",https://cls.ucla.edu/lithium-borohydride-ignites-trash
65,individual,burn,fire; chemical release,major,methanol; chloramphenicol,human error; lack of training,"While dissolving chloramphenicol in methanol for media preparation, a researcher accidentally flamed the rim of the methanol bottle with a Bunsen burner. The bottle ignited, and placing it on the bench caused a splash that set the researcher’s clothes on fire. The researcher rolled on the ground to extinguish the flames and was assisted by a co-worker. First and second degree burns resulted. The lab lacked PPE compliance, safety equipment awareness, and proper supervision for inexperienced staff.",Train staff; Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures,"University of California, Los Angeles",https://cls.ucla.edu/accidental-flaming-methanol-bottle-causes-1st-and-2nd-degree-burns
66,individual,none,fire; alarm activation,moderate,ethanol,human error; lack of training,"While preparing for sterile work, a researcher wiped the bench with 70% ethanol and left the ethanol-soaked paper towel on a desk near a Bunsen burner. When the burner was lit, the towel caught fire. The researcher moved the towel by hand to the lab bench, smothered the flames with a beaker and water, and triggered the fire alarm from smoke. No injuries occurred.",Train staff; Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures,"University of California, Los Angeles",https://cls.ucla.edu/paper-towel-used-wiping-down-bench-ethanol-catches-fire
67,individual,cut; auditory discomfort,explosion; equipment damage,major,dicyclopentadiene,human error,"A researcher heated 320 mL of dicyclopentadiene in a 500 mL Teflon-lined stainless steel pressure vessel purged with nitrogen. Unlike previous runs, the vessel was placed directly on a gravity oven heating coil instead of between coils. Temperature rose faster than expected, and upon opening the oven door at ~160 °C, the vessel exploded. The blast knocked the researcher down, causing cuts to the face and chest and temporary hearing loss. No PPE was worn.",Train staff; Use appropriate PPE; Follow standard operating procedures; Maintain equipment safety features,"University of California, Los Angeles",https://cls.ucla.edu/blast-pressurized-reaction-vessel-injures-researcher
68,individual,frostbite,none,minor,liquid nitrogen,human error; lack of training,"An undergraduate student, under the supervision of a PI, attempted to retrieve a cryovial from liquid nitrogen using cryogenic gloves. The gloves, while intact, were not suitable for immersion in liquid nitrogen (?196 °C). The student felt a burning sensation during retrieval and later developed finger blistering, seeking medical attention.",Train staff; Follow standard operating procedures; Maintain equipment safety features,"University of California, Los Angeles",https://cls.ucla.edu/student-sustains-cold-burns-when-retrieving-vial-liquid-nitrogen
69,individual,burn,explosion,moderate,liquid nitrogen,human error; lack of training,"A student sustained burns to both hands when a cryovial exploded during thawing. After retrieving cryovials from a liquid nitrogen freezer, the student rolled one vial between his hands to warm it before placing it in a 37 °C water bath. Liquid nitrogen inside the vial rapidly expanded, causing it to explode. The student, wearing appropriate PPE, was treated for first-degree burns and released the same day.",Train staff; Follow standard operating procedures; Use appropriate PPE,"University of California, Los Angeles",https://cls.ucla.edu/exploding-cryovial-injures-students-hand
70,individual,eye injury,contamination,moderate,tritiated (H-3) tyrosine,human error,"While transferring a solution of 1 µCi/mL tritiated tyrosine, a microfuge tube popped out of its rack, splashing ~0.2 mL of radioactive solution onto a student’s face and into her eyes. The student, wearing a lab coat, gloves, and surgical mask but no eye protection, rinsed at an eyewash station, decontaminated the work area, and reported the incident. Radiation exposure was minimal and well below safety limits.",Train staff; Use appropriate PPE; Follow standard operating procedures; Handle chemicals carefully,"University of California, Los Angeles",https://cls.ucla.edu/student-splashed-tritiated-h-3-tyrosine-face-and-eye
71,individual,burn; fatality,major,severe,tert-butyllithium,human error; lack of training,"A research assistant was transferring tert-butyllithium (a pyrophoric chemical) using a plastic syringe that was not rated for the chemical. During the transfer, the syringe plunger came apart, spilling the chemical, which ignited upon contact with air. Researcher was wearing no lab coat and suffered severe burns on her torso, arms, and hands. She was hospitalized and died 18 days later from her injuries. The incident led to criminal charges against the university and the supervising professor.",Train staff; Use appropriate PPE; Follow standard operating procedures; Handle chemicals carefully,"University of California, Los Angeles",https://en.wikipedia.org/wiki/Sheri_Sangji_case
72,individual,chemical exposure; fatality,none,severe,dimethylmercury,human error; lack of training; unknown inventory,"A chemistry professor was working with dimethylmercury, an extremely toxic organomercury compound. Wearing standard latex gloves, she accidentally spilled a few drops onto her gloved hand. Dimethylmercury permeated the glove material and entered her skin within seconds. The compound’s delayed neurotoxic effects meant that symptoms only appeared months later, by which time it was too late for treatment. She fell into a coma and died less than a year after exposure. The incident led to major changes in recommended PPE for handling highly toxic substances, including the use of laminated, chemically resistant gloves.",Use appropriate PPE; Train staff; Handle chemicals carefully; Follow standard operating procedures; Maintain updated inventory,Dartmouth College,https://en.wikipedia.org/wiki/Karen_Wetterhahn
73,individual,auditory discomfort; cut,explosion; evacuation,major,trimethylsilyl azide,chemical instability; human error,"A graduate student was distilling 50–100 g of trimethylsilyl azide behind a safety shield when an explosion occurred, likely due to old and/or wet material contaminated with shock-sensitive hydrazoic acid. The blast injured the student’s eardrum, arm, and side, requiring surgery for glass shards. Smoke spread through much of the building, but neither sprinklers nor alarms activated. The fire alarm was pulled manually, and the building was evacuated. A nearby graduate student with EMT training provided first aid before emergency responders arrived.",Train staff; Follow standard operating procedures; Maintain equipment safety features; Handle chemicals carefully,University of Minnesota,https://riskmanagement.nd.edu/assets/444870/university_of_minnesota_lab_accident.pdf
74,none,none,chemical release; contamination,minor,calcium phosphide,chemical instability; improper storage,"A researcher found an unopened bag containing a bottle of calcium phosphide that had turned yellow and was pressurised. The chemical, which can release toxic and pyrophoric phosphine gas on contact with water or acid, was moved to a fume cupboard, isolated, and labelled with warnings. During observation, the bag disintegrated, possibly from phosphine ignition. Following consultation with safety staff, the reagent was packed in absorbent material, sealed in a plastic drum, and stored until disposal. Subsequent inspection weeks later showed no further reaction, and the reagent was safely packaged for waste collection.",Store chemicals under safe conditions; Handle chemicals carefully; Dispose of unknown or expired substances,Imperial College London,https://www.imperial.ac.uk/safety/safety-by-topic/learning-from-incidents/chemical-safety-incidents/in015711---ca3p2-reaction/
75,none,none,chemical release; corrosion damage; contamination,minor,trimethylboroxine,chemical instability; unknown inventory; improper storage,"A lab manager discovered a corroded and leaking bottle of trimethylboroxine in a fire-rated cabinet. The label was unreadable, but the LabCup code identified the contents. The leak had corroded parts of the cabinet, and SDS information indicated the possibility of peroxide formation, which can be explosive. Testing confirmed peroxide presence. The cabinet was taken out of service, and the chemical was disposed of as hazardous waste. Formed crystals were dissolved in ethanol and safely removed by a safety department representative.",Store chemicals under safe conditions; Maintain updated inventory; Dispose of unknown or expired substances,Imperial College London,https://www.imperial.ac.uk/safety/safety-by-topic/learning-from-incidents/chemical-safety-incidents/in015715---corrosion-leading-to-forming-of-peroxides/
76,individual,burn,fire; explosion; water damage; evacuation,major,benzene,human error; equipment failure,"A graduate student was purifying benzene via reflux/distillation when the system became over-pressurized. Attempting to hold the distillation head in place, the student caused the apparatus to disassemble, releasing a fine mist of benzene vapor that ignited from an unknown source, resulting in a flash fire and explosion in the fume hood. The student suffered first- and second-degree burns to the face, neck, arm, and leg. The fire spread to adjacent rooms, causing an estimated $3.5 million in damages. Investigators cited inadequate PPE use, improper flammable storage in the hood, and failure to adhere to the chemical hygiene plan as contributing factors.",Train staff; Follow standard operating procedures; Maintain equipment safety features; Handle chemicals carefully; Store chemicals under safe conditions; Maintain updated inventory,"University of California, Irvine",https://www.bnl.gov/esh/cms/pdf/benzene%20explosion%20u%20of%20calif.pdf
77,group,inhalation,fire; chemical release; equipment damage; alarm activation; evacuation,major,lithium aluminum hydride; tetrahydrofuran; pentane,human error; lack of training; improper storage,"A researcher was conducting a reduction reaction using 5 g of lithium aluminum hydride (LAH) in 100 mL of tetrahydrofuran (THF). The remaining 95 g of LAH was left in its open, original plastic bag in the same hood, next to an unrelated experiment involving pentane. Minutes after starting, the reaction over-pressurized, dislodging the flask septum and igniting a fire. An initial attempt to extinguish the fire with a CO? extinguisher spread flames to the adjacent pentane setup. Smoke triggered building alarms, causing evacuation. Several researchers reported smoke inhalation; damage was limited to one fume hood.",Train staff; Use appropriate PPE; Store chemicals under safe conditions; Follow standard operating procedures; Handle chemicals carefully; Follow hazardous waste protocols,Stanford University,https://ehs.stanford.edu/reference/campus-laboratory-fire-involving-lithium-aluminum-hydride
78,none,none,fire; smoke damage; electrical damage; water damage; evacuation,major,none,equipment failure,"A fire broke out in a chemical fume hood and caused by an electrical arc from a damaged hot/stir plate power cord, burned through the fiber-reinforced polyester siding of the hood. While no injuries occurred, there was significant smoke damage to the third floor and water damage to all floors on the north side of the building when a deionized water line broke during the fire. The incident disrupted both administrative and research activities. The exact cause of the cord damage is unknown but may have been due to pinching or kinking over time.",Maintain equipment safety features; Store chemicals under safe conditions; Follow standard operating procedures,Stanford University,https://ehs.stanford.edu/reference/fire-fume-hood-due-damaged-electrical-cord
79,group,none,fire; equipment damage; evacuation,moderate,acetylene,equipment failure; human error,"A group of students were welding with oxy-acetylene torches supplied by a manifold system when a welding spark ignited a small fire near the top of the acetylene gas cylinder at the gas regulator connection. A leak at the threading between the gas regulator and the cylinder’s valve outlet allowed the spark to ignite the leak. A course assistant quickly evacuated the students, used an ABC extinguisher to put out the fire, and closed the acetylene valve and manifold system. The fire caused damage to the regulator’s pressure gauge only.",Train staff; Maintain equipment safety features; Handle chemicals carefully; Follow standard operating procedures,Stanford University,https://ehs.stanford.edu/reference/acetylene-gas-cylinder-related-fire
80,individual,inhalation; eye injury,chemical release,moderate,acryloyl chloride,human error; lack of training,"A researcher, inexperienced with acryloyl chloride, reduced their reaction scale tenfold but did not review the SDS. Choosing to weigh 1 g of the compound by mass rather than volume, they removed the bottle from the fume hood and weighed it at a nearby bench. The vial tipped over, spilling the chemical onto the bench and their glove. The material evaporated rapidly, causing immediate eye and respiratory irritation. The researcher removed the glove, used the eyewash for several minutes, and then moved outside for fresh air. They sought medical attention and recovered without long-term effects. The root cause was working with an open container of a highly toxic chemical outside of a fume hood without a complete risk assessment.",Train staff; Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures,Stanford University,https://ehs.stanford.edu/reference/acryloyl-chloride-exposure-lessons-learned
81,individual,none,fire; equipment damage,moderate,lithium,human error,"A small fire occurred in a fume hood when a researcher attempted to quench pieces of lithium in water. Due to clumping, about 15 g of lithium was added to a beaker of water at once, igniting and breaking the beaker. Water spilled onto another bag containing 15 g of lithium, which also caught fire. The fire was left to burn out inside the fume hood, causing minimal hood damage and no injuries. Proper PPE was worn, the work was conducted in a fume hood, and emergency services were notified.",Train staff; Store chemicals under safe conditions; Handle chemicals carefully; Follow standard operating procedures,Stanford University,https://ehs.stanford.edu/reference/management-of-lithium-sodium-and-potassium-metal
82,individual,cut; chemical exposure,explosion; equipment damage; chemical release,moderate,formamide; hydrogen peroxide,missing label; human error,"While preparing a dilution of formamide, a researcher mistakenly used 30% hydrogen peroxide instead of water due to unlabeled bottles. The reaction caused overpressurization and rupture of a glass bottle, resulting in lacerations to the researcher’s arm and hand. The researcher had removed their lab coat prior to the incident, increasing exposure risk. With assistance from a colleague, they used the safety shower to flush potential contaminants and sought emergency medical care. The incident was caused by mislabeling and improper PPE use.",Practice proper labeling; Use appropriate PPE; Train staff; Handle chemicals carefully; Follow standard operating procedures,Stanford University,https://ehs.stanford.edu/reference/water-hydrogen-peroxide-improper-labeling-causes-injury
83,individual,burn,fire; equipment damage; contamination,major,heptane,human error; lack of training,"A laboratory worker heated 0.5 liters of heptane in a Pyrex beaker by hand over an open bench using a heat gun. A splash of heptane contacted the heating elements, igniting the solvent. The worker tossed the flaming beaker, causing his shirt sleeve to catch fire and the beaker to land on another work surface, igniting a computer. The worker extinguished the clothing fire using a safety shower and used a dry chemical extinguisher to put out the equipment fire. He sustained burns to his hand, and the computer containing his thesis was destroyed by extinguisher powder.",Train staff; Use appropriate PPE; Handle chemicals carefully; Follow standard operating procedures,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
84,individual,chemical exposure,fire; evacuation; equipment damage,major,nitrobenzene; hexane,human error; improper storage; lack of training,"A laboratory worker left nitrobenzene heating in an oil bath at 200 °C on a hot plate for three days. A plastic squeeze bottle of hexane was stored next to the hot plate, and heat from the plate pressurized the bottle, forcing hexane onto the hot plate where it ignited. The fire spread within the hood and could not be extinguished by lab staff. The fire department responded, evacuating multiple buildings for over three hours. Language barriers and an inaccurate emergency information poster complicated the response, leading to hazmat decontamination of two individuals.",Train staff; Store chemicals under safe conditions; Handle chemicals carefully; Follow standard operating procedures,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
85,individual,burn,none,major,trifluoroacetic acid; hydrofluoric acid,human error; lack of training,"A laboratory worker moved a container of trifluoroacetic acid without gloves, unaware of residue on the glass. Several hours later, she developed severe pain in her palm and thumb. The burn, caused by hydrofluoric acid generated from trifluoroacetic acid contact with moisture, required skin grafting.",Use appropriate PPE; Train staff; Handle chemicals carefully,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
86,individual,burn,none,major,phenol; chloroform,human error; improper storage,"A laboratory worker transported unsealed centrifuge tubes containing phenol–chloroform in a Styrofoam shipping container. The Styrofoam broke, splashing the mixture onto the worker’s face and dripping onto the chest. The worker immediately used a drench hose but still sustained second-degree burns to the face, chest, and abdomen. Goggles prevented eye injury.",Use appropriate PPE; Handle chemicals carefully; Store chemicals under safe conditions,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
87,individual,burn; eye injury,equipment damage,major,chloroform,human error; equipment failure; lack of training,"While pouring chloroform through a gel column in a fume hood, incorrect equipment configuration caused pressure buildup, breaking the glassware and spraying chloroform out of the hood onto the worker’s face, eyes, and clothing. The worker wore safety glasses instead of chemical splash goggles, allowing chloroform to enter the eyes and dissolve the lenses. Embarrassment prevented immediate removal of a sweater, resulting in second-degree burns to both arms.",Use appropriate PPE; Handle chemicals carefully; Train staff; Maintain equipment safety features,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
88,individual,burn,none,major,iodine monochloride,human error; lack of training; improper waste management,"While cleaning chemicals from an old refrigerator, a laboratory worker wearing gloves, splash goggles, and a lab coat over shorts began segregating chemicals into waste containers. Without knowing the hazards, the worker poured iodine monochloride into a jar containing other liquid wastes, causing vigorous fuming. Startled, the worker dropped the bottle, splashing iodine monochloride onto his leg and causing a second-degree burn. The reaction was due to incompatibility with a chemical in the waste container. Wearing long pants could have prevented injury.",Train staff; Follow hazardous waste protocols; Handle chemicals carefully; Use appropriate PPE,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
89,individual,cut,explosion; equipment damage,moderate,ozone,human error; chemical instability; lack of training,"While scaling up a procedure, a lab worker introduced ozone into a flask containing organic material, cooling it to ?85 °C with the fume hood sash fully raised. A deep blue color indicated high ozone concentration, which the worker attributed to poor mixing. As stirring speed was increased, the flask exploded, sending glass into the worker’s face, neck, and safety glasses.",Train staff; Follow standard operating procedures; Handle chemicals carefully; Use appropriate PPE,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
90,group,cut,explosion; equipment damage,major,styrene; liquid nitrogen,human error; equipment failure,"While attempting to evacuate a 250 ml glass flask containing ~10 g styrene and a drying agent frozen in liquid nitrogen, a laboratory worker was unable to achieve vacuum and suspected a crack. The flask was removed from the vacuum line and warmed under running water while being held. Liquid nitrogen that had leaked into the flask vaporized upon warming, overpressurizing the vessel and causing it to explode. Two workers sustained lacerations from flying glass.",Train staff; Handle chemicals carefully; Follow standard operating procedures; Use appropriate PPE,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
91,individual,none,explosion; equipment damage; chemical release,moderate,nitric acid; methanol,improper waste management; human error; chemical instability,"A 2L nitric acid waste bottle, previously used for methanol, overpressurized over 12–16 hours due to reaction between residual methanol and nitric acid, producing carbon dioxide. The bottle burst, spraying acid and glass throughout the lab, damaging other waste containers in the hood. The graduate student sitting nearby was not injured.",Follow hazardous waste protocols; Train staff; Handle chemicals carefully; Use appropriate PPE; Dispose of unknown or expired substances,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
92,individual,cut,explosion; equipment damage,major,ethyl ether,chemical instability; improper storage; human error,"A laboratory worker attempted to use anhydrous ethyl ether in a rotary evaporator extraction. While pouring from a nearly empty four-liter can into the apparatus in a fume hood, he noticed an oily appearance and strange odor and decided not to use it. The ether was poured back into the can. The next day, a white residue was found inside the rotary evaporator. While scraping the residue with a metal spatula, a detonation occurred, shattering the glassware. Flying glass caused severe lacerations to the worker’s hands, face, ear, and scalp, but safety glasses prevented eye injury. The hood sash was cracked, and the internal light fixture was shattered. The can had been purchased 30 months earlier, opened six months later, and bore a warning about peroxide formation despite a stabilizer being present.",Dispose of unknown or expired substances; Use appropriate PPE; Handle chemicals carefully,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
93,individual,none,fire; contamination,moderate,tetrahydrofuran; lithium aluminum hydride,human error; improper storage,"While pouring lithium aluminum hydride into a flask containing tetrahydrofuran inside a fume hood, a leak from a damaged bag caused a small fire. The startled worker dropped the remaining LAH onto the flames, intensifying the fire. Attempting to smother it with a lab coat, the worker removed the burning materials from the hood onto the floor before extinguishing the coat fire with a dry chemical extinguisher. No injuries occurred.",Handle chemicals carefully; Store chemicals under safe conditions; Use appropriate PPE,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
94,individual,burn,none,moderate,potassium,human error; equipment failure,"A laboratory worker sustained burns to one hand when pressurized potassium metal pieces shot out of an alkali jet apparatus during cleaning. The incident occurred because the apparatus was opened before venting. The injury worsened when the worker rinsed the burn with mineral oil instead of water. Following the incident, a venting valve with filter, plexiglas shielding, and mandatory PPE use were implemented.",Handle chemicals carefully; Use appropriate PPE; Follow standard operating procedures,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
95,individual,electric shock; burn,none,major,none,human error; equipment failure; lack of training,"While attempting to wipe condensation from a high voltage power supply for a laser, a laboratory worker contacted an exposed 17,000-volt anode terminal with the power still on. The contact caused severe electrical shock, second-degree burns to the thumb and abdomen, and cardiac arrest. Witnesses heard a loud snap before the worker collapsed. Immediate CPR and defibrillation restored his heartbeat, and he survived. The incident occurred because safety interlocks had been bypassed and guards removed without alternative protections.",Train staff; Follow standard operating procedures; Maintain equipment safety features,Princeton University,https://ehs.princeton.edu/laboratory-research/anecdotes
